{'eta': 0.47160393032501297, 'gamma': 0.25428097661957305, 'eval_metric': 'error@0.5', 'max_depth': 4, 'subsample': 0.6295330739505972, 'sampling_method': 'gradient_based', 'lambda': 1.5823076881162796, 'min_child_weight': 9, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.04449, 'tree_no': 15}
{'eta': 0.4931591348404733, 'gamma': 0.48713842120727463, 'eval_metric': 'error@0.5', 'max_depth': 8, 'subsample': 0.9034893996613861, 'sampling_method': 'gradient_based', 'lambda': 2.0591710990706127, 'min_child_weight': 8, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.043901, 'tree_no': 16}
{'eta': 0.34417276046093376, 'gamma': 0.1382927495739581, 'eval_metric': 'error@0.5', 'max_depth': 7, 'subsample': 0.8160708209777927, 'sampling_method': 'gradient_based', 'lambda': 0.5285878122998493, 'min_child_weight': 3, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.044785, 'tree_no': 17}
{'eta': 0.2412413972737497, 'gamma': 0.26402613785568757, 'eval_metric': 'error@0.5', 'max_depth': 8, 'subsample': 0.6018875486092252, 'sampling_method': 'gradient_based', 'lambda': 0.7742855558230242, 'min_child_weight': 3, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.04449, 'tree_no': 18}
{'eta': 0.36303419161962536, 'gamma': 0.3896860397474811, 'eval_metric': 'error@0.5', 'max_depth': 7, 'subsample': 0.7649244339217169, 'sampling_method': 'gradient_based', 'lambda': 2.8848275906056697, 'min_child_weight': 1, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.042722, 'tree_no': 19}
{'eta': 0.2401505880787838, 'gamma': 0.17643195323143418, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.7263651981606298, 'sampling_method': 'gradient_based', 'lambda': 0.021670416112698043, 'min_child_weight': 7, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.04449, 'tree_no': 20}
{'eta': 0.015303002652456155, 'gamma': 0.2731368496629534, 'eval_metric': 'error@0.5', 'max_depth': 3, 'subsample': 0.8730441996234035, 'sampling_method': 'gradient_based', 'lambda': 0.10693692096716145, 'min_child_weight': 7, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.062169, 'tree_no': 21}
{'eta': 0.09573626011533981, 'gamma': 0.12633732693251865, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.7122047964933365, 'sampling_method': 'gradient_based', 'lambda': 2.5314033259392996, 'min_child_weight': 7, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.047437, 'tree_no': 22}
{'eta': 0.2242659098121682, 'gamma': 0.1504307601268211, 'eval_metric': 'error@0.5', 'max_depth': 3, 'subsample': 0.6465541125447393, 'sampling_method': 'gradient_based', 'lambda': 1.4274321965856953, 'min_child_weight': 6, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.047142, 'tree_no': 23}
{'eta': 0.4012834379079446, 'gamma': 0.19223661544096826, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.8047646945040425, 'sampling_method': 'gradient_based', 'lambda': 0.16745952920202867, 'min_child_weight': 4, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.044196, 'tree_no': 24}
{'eta': 0.4844032759504475, 'gamma': 0.4650025630724443, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.8219196423965744, 'sampling_method': 'gradient_based', 'lambda': 2.460214742747621, 'min_child_weight': 5, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.044785, 'tree_no': 25}
{'eta': 0.2943805926073816, 'gamma': 0.13216387622430603, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.8621387448561286, 'sampling_method': 'gradient_based', 'lambda': 0.18016314531937017, 'min_child_weight': 9, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.047731, 'tree_no': 26}
{'eta': 0.10559661736285242, 'gamma': 0.1513986312485297, 'eval_metric': 'error@0.5', 'max_depth': 3, 'subsample': 0.7948894689840815, 'sampling_method': 'gradient_based', 'lambda': 1.3129011020341939, 'min_child_weight': 6, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.062169, 'tree_no': 27}
{'eta': 0.2727673861150429, 'gamma': 0.27173041110733476, 'eval_metric': 'error@0.5', 'max_depth': 5, 'subsample': 0.9384117954473516, 'sampling_method': 'gradient_based', 'lambda': 1.7219243923224696, 'min_child_weight': 7, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.048026, 'tree_no': 28}
{'eta': 0.3839723307751531, 'gamma': 0.17842512424666362, 'eval_metric': 'error@0.5', 'max_depth': 5, 'subsample': 0.6856006096293138, 'sampling_method': 'gradient_based', 'lambda': 1.8919611739303757, 'min_child_weight': 1, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.043017, 'tree_no': 29}
{'eta': 0.3481621540088481, 'gamma': 0.21497327323379362, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.6025593513802239, 'sampling_method': 'gradient_based', 'lambda': 2.6023149192805857, 'min_child_weight': 9, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.04449, 'tree_no': 30}
{'eta': 0.2860365873057266, 'gamma': 0.20191672668062183, 'eval_metric': 'error@0.5', 'max_depth': 4, 'subsample': 0.8389813199601411, 'sampling_method': 'gradient_based', 'lambda': 2.1475433018808685, 'min_child_weight': 2, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.046847, 'tree_no': 31}
{'eta': 0.4211798624332148, 'gamma': 0.13062280374449503, 'eval_metric': 'error@0.5', 'max_depth': 9, 'subsample': 0.6370895048852091, 'sampling_method': 'gradient_based', 'lambda': 2.5315584137614233, 'min_child_weight': 8, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.04449, 'tree_no': 32}
{'eta': 0.23315921690256042, 'gamma': 0.39477120067753596, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.8993870262222156, 'sampling_method': 'gradient_based', 'lambda': 1.5664915629011547, 'min_child_weight': 9, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.045374, 'tree_no': 33}
{'eta': 0.10583098244504513, 'gamma': 0.015723078044869165, 'eval_metric': 'error@0.5', 'max_depth': 8, 'subsample': 0.7970659897776836, 'sampling_method': 'gradient_based', 'lambda': 2.6898548499448394, 'min_child_weight': 3, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.053919, 'tree_no': 34}
{'eta': 0.48139311406289426, 'gamma': 0.14731632087897784, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.8002586400428866, 'sampling_method': 'gradient_based', 'lambda': 0.3352766362610352, 'min_child_weight': 7, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.044196, 'tree_no': 35}
{'eta': 0.01486326881184552, 'gamma': 0.27128878021914976, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.7610131485798407, 'sampling_method': 'gradient_based', 'lambda': 0.47800247237955207, 'min_child_weight': 10, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.057749, 'tree_no': 36}
{'eta': 0.29836615678588835, 'gamma': 0.24647357368063333, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.8796928962651216, 'sampling_method': 'gradient_based', 'lambda': 2.080368457789172, 'min_child_weight': 10, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.045963, 'tree_no': 37}
{'eta': 0.21981403682142803, 'gamma': 0.43365938258352404, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.9371162614345929, 'sampling_method': 'gradient_based', 'lambda': 1.9067563937770826, 'min_child_weight': 6, 'num_parallel_tree': 13, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.046553, 'tree_no': 38}
{'eta': 0.11548467517961941, 'gamma': 0.043331308066754615, 'eval_metric': 'error@0.5', 'max_depth': 4, 'subsample': 0.9234975523814444, 'sampling_method': 'gradient_based', 'lambda': 1.3986792085869557, 'min_child_weight': 7, 'num_parallel_tree': 12, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.048026, 'tree_no': 39}
{'eta': 0.3669030514259726, 'gamma': 0.23578674711827574, 'eval_metric': 'error@0.5', 'max_depth': 4, 'subsample': 0.7590194162137768, 'sampling_method': 'gradient_based', 'lambda': 0.611966370074337, 'min_child_weight': 7, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.043901, 'tree_no': 40}
{'eta': 0.44016106277103145, 'gamma': 0.04600524502907838, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.7081120174654048, 'sampling_method': 'gradient_based', 'lambda': 2.7888249930792535, 'min_child_weight': 3, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.043901, 'tree_no': 41}
{'eta': 0.258812218307657, 'gamma': 0.19586519400455144, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.9352479035465742, 'sampling_method': 'gradient_based', 'lambda': 2.9983480967452354, 'min_child_weight': 3, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.04449, 'tree_no': 42}
{'eta': 0.27974919746165916, 'gamma': 0.382736362221458, 'eval_metric': 'error@0.5', 'max_depth': 3, 'subsample': 0.6558739409277783, 'sampling_method': 'gradient_based', 'lambda': 0.01544442217382136, 'min_child_weight': 6, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.046553, 'tree_no': 43}
{'eta': 0.1781180254134337, 'gamma': 0.20293511743265447, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6322894104276501, 'sampling_method': 'gradient_based', 'lambda': 0.3706978255566984, 'min_child_weight': 9, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.043606, 'tree_no': 44}
{'eta': 0.016518702144895148, 'gamma': 0.223663721250214, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.7948517045497049, 'sampling_method': 'gradient_based', 'lambda': 1.6476393144653247, 'min_child_weight': 8, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.058928, 'tree_no': 45}
{'eta': 0.18751207306535478, 'gamma': 0.10627651832580243, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.7053529854006141, 'sampling_method': 'gradient_based', 'lambda': 2.7815011750905154, 'min_child_weight': 4, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.045963, 'tree_no': 46}
{'eta': 0.2811000003383091, 'gamma': 0.1458711803996618, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.8246922219585566, 'sampling_method': 'gradient_based', 'lambda': 1.1785827013314678, 'min_child_weight': 2, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.046258, 'tree_no': 47}
{'eta': 0.36581977991571324, 'gamma': 0.019559660119802258, 'eval_metric': 'error@0.5', 'max_depth': 8, 'subsample': 0.9605641986198202, 'sampling_method': 'gradient_based', 'lambda': 0.5048372038531559, 'min_child_weight': 4, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.046258, 'tree_no': 48}
{'eta': 0.0013722349265864464, 'gamma': 0.049332971937991854, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.6032837105616867, 'sampling_method': 'gradient_based', 'lambda': 0.4820309993773919, 'min_child_weight': 8, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.058044, 'tree_no': 49}
{'eta': 0.4839846922186378, 'gamma': 0.08397382612181198, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6485609076267282, 'sampling_method': 'gradient_based', 'lambda': 0.8992031772638449, 'min_child_weight': 10, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.043606, 'tree_no': 50}
{'eta': 0.4540898368844595, 'gamma': 0.04873957709398408, 'eval_metric': 'error@0.5', 'max_depth': 4, 'subsample': 0.7766900298420856, 'sampling_method': 'gradient_based', 'lambda': 0.6106317367420977, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.047142, 'tree_no': 51}
{'eta': 0.3674642442542479, 'gamma': 0.4591411038220369, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.7051549293260326, 'sampling_method': 'gradient_based', 'lambda': 0.04353732098150476, 'min_child_weight': 5, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.043606, 'tree_no': 52}
{'eta': 0.4966751328567437, 'gamma': 0.17068700347029858, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.6543483512231507, 'sampling_method': 'gradient_based', 'lambda': 2.3171223640633944, 'min_child_weight': 10, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.04508, 'tree_no': 53}
{'eta': 0.48690752755606054, 'gamma': 0.17067053273157706, 'eval_metric': 'error@0.5', 'max_depth': 4, 'subsample': 0.7027556328358469, 'sampling_method': 'gradient_based', 'lambda': 0.0063683564300796025, 'min_child_weight': 8, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.045374, 'tree_no': 54}
{'eta': 0.46687104085026665, 'gamma': 0.348840518559974, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.673098473731891, 'sampling_method': 'gradient_based', 'lambda': 2.443173873732675, 'min_child_weight': 1, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.042428, 'tree_no': 55}
{'eta': 0.3474657061556162, 'gamma': 0.03645697996092334, 'eval_metric': 'error@0.5', 'max_depth': 3, 'subsample': 0.6064777756439201, 'sampling_method': 'gradient_based', 'lambda': 2.8883822068328615, 'min_child_weight': 10, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.046258, 'tree_no': 56}
{'eta': 0.4568798909624012, 'gamma': 0.43966981255212506, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.716500527739107, 'sampling_method': 'gradient_based', 'lambda': 0.24718562295925117, 'min_child_weight': 9, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.04508, 'tree_no': 57}
{'eta': 0.4816160868787438, 'gamma': 0.346531738410486, 'eval_metric': 'error@0.5', 'max_depth': 7, 'subsample': 0.661814364624026, 'sampling_method': 'gradient_based', 'lambda': 0.5321196532460779, 'min_child_weight': 5, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.045374, 'tree_no': 58}
{'eta': 0.4837303711248339, 'gamma': 0.09863453298946917, 'eval_metric': 'error@0.5', 'max_depth': 5, 'subsample': 0.6255822825514502, 'sampling_method': 'gradient_based', 'lambda': 0.27225990775619446, 'min_child_weight': 7, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.047142, 'tree_no': 59}
{'eta': 0.39357599719071457, 'gamma': 0.42357896028083986, 'eval_metric': 'error@0.5', 'max_depth': 3, 'subsample': 0.930522570277488, 'sampling_method': 'gradient_based', 'lambda': 2.9400189850467218, 'min_child_weight': 5, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.048615, 'tree_no': 60}
{'eta': 0.3917060803436197, 'gamma': 0.4081891888006328, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.8365037672879323, 'sampling_method': 'gradient_based', 'lambda': 0.7987469854032084, 'min_child_weight': 10, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.043901, 'tree_no': 61}
{'eta': 0.2588163162111412, 'gamma': 0.40707625422906485, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.7364608531434378, 'sampling_method': 'gradient_based', 'lambda': 0.09263286216948241, 'min_child_weight': 1, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.04449, 'tree_no': 62}
{'eta': 0.4478568239659085, 'gamma': 0.3759804067991958, 'eval_metric': 'error@0.5', 'max_depth': 4, 'subsample': 0.8625582821619877, 'sampling_method': 'gradient_based', 'lambda': 0.0723761906043513, 'min_child_weight': 7, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.045374, 'tree_no': 63}
{'eta': 0.3321509722860559, 'gamma': 0.1694043453662461, 'eval_metric': 'error@0.5', 'max_depth': 3, 'subsample': 0.8530966445612755, 'sampling_method': 'gradient_based', 'lambda': 2.667185627520615, 'min_child_weight': 1, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.050383, 'tree_no': 64}
{'eta': 0.46291214586653623, 'gamma': 0.44266591633690233, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6212299396821435, 'sampling_method': 'gradient_based', 'lambda': 1.6435603513721948, 'min_child_weight': 1, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.043017, 'tree_no': 65}
{'eta': 0.4701260616454932, 'gamma': 0.2776237233257636, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.609263048099476, 'sampling_method': 'gradient_based', 'lambda': 0.6921629811123794, 'min_child_weight': 7, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.044196, 'tree_no': 66}
