{'n_estimators': 500, 'learning_rate': 0.19095175976058879, 'gamma': 0.17978684255916277, 'max_depth': 8, 'subsample': 0.6409357486572088, 'sampling_method': 'gradient_based', 'reg_lambda': 1.8312061401218795, 'min_child_weight': 7, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9750039802579208, 'tree_no': 16}
{'n_estimators': 500, 'learning_rate': 0.17425277586734333, 'gamma': 0.27886507077594935, 'max_depth': 8, 'subsample': 0.8800201609862537, 'sampling_method': 'gradient_based', 'reg_lambda': 0.39589611775120015, 'min_child_weight': 3, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9733333333333333, 'tree_no': 17}
{'n_estimators': 500, 'learning_rate': 0.12454366087235907, 'gamma': 0.5125658113122197, 'max_depth': 4, 'subsample': 0.7013324707008298, 'sampling_method': 'gradient_based', 'reg_lambda': 1.2331899944267988, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9760811024869318, 'tree_no': 18}
{'n_estimators': 500, 'learning_rate': 0.13633725782808667, 'gamma': 0.8334333415477369, 'max_depth': 5, 'subsample': 0.7573436178204643, 'sampling_method': 'gradient_based', 'reg_lambda': 0.7044600153479676, 'min_child_weight': 5, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9781115194120465, 'tree_no': 19}
{'n_estimators': 500, 'learning_rate': 0.07987490546950424, 'gamma': 0.19475913756398777, 'max_depth': 12, 'subsample': 0.972178812179648, 'sampling_method': 'gradient_based', 'reg_lambda': 0.3277232029888657, 'min_child_weight': 6, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9762927605409705, 'tree_no': 20}
{'n_estimators': 500, 'learning_rate': 0.06224561701753843, 'gamma': 0.8988477414721561, 'max_depth': 12, 'subsample': 0.956007101574826, 'sampling_method': 'gradient_based', 'reg_lambda': 1.294273096630624, 'min_child_weight': 4, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9748567791215785, 'tree_no': 21}
{'n_estimators': 500, 'learning_rate': 0.21543194827517648, 'gamma': 0.6600284481604203, 'max_depth': 7, 'subsample': 0.6228257079732562, 'sampling_method': 'gradient_based', 'reg_lambda': 0.9028199781941497, 'min_child_weight': 4, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9762549800796813, 'tree_no': 22}
{'n_estimators': 500, 'learning_rate': 0.05636019949941032, 'gamma': 0.6342018924521402, 'max_depth': 8, 'subsample': 0.9111724920249743, 'sampling_method': 'gradient_based', 'reg_lambda': 0.5349866060275923, 'min_child_weight': 4, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9743997455875338, 'tree_no': 23}
{'n_estimators': 500, 'learning_rate': 0.19728281350444976, 'gamma': 0.3447186578551038, 'max_depth': 10, 'subsample': 0.8532768239004243, 'sampling_method': 'gradient_based', 'reg_lambda': 0.7976783337843976, 'min_child_weight': 5, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9745884609237654, 'tree_no': 24}
{'n_estimators': 500, 'learning_rate': 0.24651612652449828, 'gamma': 0.15097677639710672, 'max_depth': 7, 'subsample': 0.748250350893237, 'sampling_method': 'gradient_based', 'reg_lambda': 0.8608353732361367, 'min_child_weight': 2, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9769218526181761, 'tree_no': 25}
